time,x,y,in_or_out
0.0,143.43639827545127,1,2
0.0,127.2134801740124,1,2
1.0,110.99056207257354,1,2
2.0,94.76764397113467,1,2
3.0,78.54472586969581,1,2
4.0,62.321807768256946,1,2
5.0,46.09888966681808,1,2
6.0,29.875971565379217,1,2
7.0,13.653053463940353,1,2
8.0,997.4301353625015,1,2
9.0,981.2072172610626,1,2
10.0,964.9842991596238,1,2
11.0,948.761381058185,1,2
12.0,932.5384629567461,1,2
13.0,916.3155448553073,1,2
14.0,900.0926267538684,1,2
15.0,883.8697086524296,1,2
16.0,867.6467905509908,1,2
17.0,851.4238724495519,1,2
18.0,835.2009543481131,1,2
19.0,818.9780362466743,1,2
20.0,802.7551181452354,1,2
21.0,786.5322000437966,1,1
22.0,770.3092819423578,1,1
23.0,754.0863638409189,1,1
24.0,737.8634457394801,1,0
25.0,721.6405276380412,1,0
26.0,705.4176095366024,1,0
27.0,689.1946914351636,1,0
28.0,672.9717733337247,1,0
29.0,656.7488552322859,1,0
30.0,640.5259371308471,1,0
31.0,624.3030190294082,1,0
32.0,608.0801009279694,1,0
33.0,591.8571828265306,1,0
34.0,575.6342647250917,1,0
35.0,559.4113466236529,1,0
36.0,543.188428522214,1,0
37.0,526.9655104207752,1,0
38.0,510.7425923193364,1,0
39.0,494.51967421789755,1,0
40.0,478.2967561164587,1,0
41.0,462.0738380150199,1,0
42.0,445.85091991358104,1,0
43.0,429.6280018121422,1,0
44.0,413.40508371070337,1,0
45.0,397.18216560926453,1,0
46.0,380.9592475078257,1,0
47.0,364.73632940638686,1,0
48.0,348.513411304948,1,0
49.0,332.2904932035092,1,0
50.0,316.06757510207035,1,0
51.0,299.8446570006315,1,0
52.0,283.6217388991927,1,0
53.0,267.39882079775384,1,0
54.0,251.17590269631498,1,0
55.0,234.9529845948761,1,1
56.0,218.73006649343725,1,1
57.0,202.50714839199838,1,1
58.0,186.28423029055952,1,2
59.0,170.06131218912066,1,2
60.0,153.8383940876818,1,2
61.0,137.61547598624293,1,2
62.0,121.39255788480406,1,2
63.0,105.1696397833652,1,2
64.0,88.94672168192633,1,2
65.0,72.72380358048747,1,2
66.0,56.500885479048605,1,2
67.0,40.27796737760974,1,2
68.0,24.055049276170877,1,2
69.0,7.832131174732012,1,2
70.0,991.6092130732932,1,2
71.0,975.3862949718543,1,2
72.0,959.1633768704155,1,2
73.0,942.9404587689767,1,2
74.0,926.7175406675378,1,2
75.0,910.494622566099,1,2
76.0,894.2717044646602,1,2
77.0,878.0487863632213,1,2
78.0,861.8258682617825,1,2
79.0,845.6029501603437,1,2
80.0,829.3800320589048,1,2
81.0,813.157113957466,1,2
82.0,796.9341958560271,1,1
83.0,780.7112777545883,1,1
84.0,764.4883596531495,1,1
85.0,748.2654415517106,1,0
86.0,732.0425234502718,1,0
87.0,715.819605348833,1,0
88.0,699.5966872473941,1,0
89.0,683.3737691459553,1,0
90.0,667.1508510445165,1,0
91.0,650.9279329430776,1,0
92.0,634.7050148416388,1,0
93.0,618.4820967402,1,0
94.0,602.2591786387611,1,0
95.0,586.0362605373223,1,0
96.0,569.8133424358834,1,0
97.0,553.5904243344446,1,0
98.0,537.3675062330058,1,0
99.0,521.1445881315669,1,0
100.0,504.9216700301281,1,0
101.0,488.69875192868926,1,0
102.0,472.4758338272504,1,0
103.0,456.2529157258116,1,0
104.0,440.02999762437275,1,0
105.0,423.8070795229339,1,0
106.0,407.5841614214951,1,0
107.0,391.36124332005625,1,0
108.0,375.1383252186174,1,0
109.0,358.9154071171786,1,0
110.0,342.69248901573974,1,0
111.0,326.4695709143009,1,0
112.0,310.24665281286207,1,0
113.0,294.02373471142323,1,0
114.0,277.8008166099844,1,0
115.0,261.57789850854556,1,0
116.0,245.3549804071067,1,1
117.0,229.13206230566783,1,1
118.0,212.90914420422897,1,1
119.0,196.6862261027901,1,2
120.0,180.46330800135124,1,2
121.0,164.24038989991237,1,2
122.0,148.0174717984735,1,2
123.0,131.79455369703464,1,2
124.0,115.57163559559578,1,2
125.0,99.34871749415692,1,2
126.0,83.12579939271805,1,2
127.0,66.90288129127919,1,2
128.0,50.67996318984032,1,2
129.0,34.45704508840146,1,2
130.0,18.234126986962593,1,2
131.0,2.011208885523729,1,2
132.0,985.7882907840849,1,2
133.0,969.5653726826461,1,2
134.0,953.3424545812072,1,2
135.0,937.1195364797684,1,2
136.0,920.8966183783295,1,2
137.0,904.6737002768907,1,2
138.0,888.4507821754519,1,2
139.0,872.227864074013,1,2
140.0,856.0049459725742,1,2
141.0,839.7820278711354,1,2
142.0,823.5591097696965,1,2
143.0,807.3361916682577,1,2
144.0,791.1132735668189,1,1
145.0,774.89035546538,1,1
146.0,758.6674373639412,1,1
147.0,742.4445192625024,1,0
148.0,726.2216011610635,1,0
149.0,709.9986830596247,1,0
150.0,693.7757649581858,1,0
151.0,677.552846856747,1,0
152.0,661.3299287553082,1,0
153.0,645.1070106538693,1,0
154.0,628.8840925524305,1,0
155.0,612.6611744509917,1,0
