time,x,y,in_or_out
0.0,520.7314242378161,1,0
0.0,505.2347570209315,1,0
1.0,489.7380898040469,1,0
2.0,474.24142258716233,1,0
3.0,458.74475537027774,1,0
4.0,443.24808815339316,1,0
5.0,427.75142093650857,1,0
6.0,412.254753719624,1,0
7.0,396.7580865027394,1,0
8.0,381.2614192858548,1,0
9.0,365.7647520689702,1,0
10.0,350.2680848520856,1,0
11.0,334.77141763520103,1,0
12.0,319.27475041831644,1,0
13.0,303.77808320143185,1,0
14.0,288.28141598454727,1,0
15.0,272.7847487676627,1,0
16.0,257.2880815507781,1,0
17.0,241.79141433389347,1,1
18.0,226.29474711700885,1,1
19.0,210.79807990012424,1,1
20.0,195.30141268323962,1,2
21.0,179.804745466355,1,2
22.0,164.30807824947038,1,2
23.0,148.81141103258577,1,2
24.0,133.31474381570115,1,2
25.0,117.81807659881655,1,2
26.0,102.32140938193194,1,2
27.0,86.82474216504734,1,2
28.0,71.32807494816274,1,2
29.0,55.831407731278134,1,2
30.0,40.33474051439353,1,2
31.0,24.838073297508927,1,2
32.0,9.341406080624322,1,2
33.0,993.8447388637397,1,2
34.0,978.3480716468551,1,2
35.0,962.8514044299706,1,2
36.0,947.354737213086,1,2
37.0,931.8580699962014,1,2
38.0,916.3614027793168,1,2
39.0,900.8647355624322,1,2
40.0,885.3680683455476,1,2
41.0,869.871401128663,1,2
42.0,854.3747339117784,1,2
43.0,838.8780666948938,1,2
44.0,823.3813994780093,1,2
45.0,807.8847322611247,1,2
46.0,792.3880650442401,1,1
47.0,776.8913978273555,1,1
48.0,761.3947306104709,1,1
49.0,745.8980633935863,1,0
50.0,730.4013961767017,1,0
51.0,714.9047289598171,1,0
52.0,699.4080617429325,1,0
53.0,683.911394526048,1,0
54.0,668.4147273091634,1,0
55.0,652.9180600922788,1,0
56.0,637.4213928753942,1,0
57.0,621.9247256585096,1,0
58.0,606.428058441625,1,0
59.0,590.9313912247404,1,0
60.0,575.4347240078558,1,0
61.0,559.9380567909712,1,0
62.0,544.4413895740867,1,0
63.0,528.9447223572021,1,0
64.0,513.4480551403175,1,0
65.0,497.9513879234329,1,0
66.0,482.4547207065483,1,0
67.0,466.9580534896637,1,0
68.0,451.4613862727791,1,0
69.0,435.96471905589453,1,0
70.0,420.46805183900995,1,0
71.0,404.97138462212536,1,0
72.0,389.47471740524077,1,0
73.0,373.9780501883562,1,0
74.0,358.4813829714716,1,0
75.0,342.984715754587,1,0
76.0,327.4880485377024,1,0
77.0,311.9913813208178,1,0
78.0,296.49471410393323,1,0
79.0,280.99804688704864,1,0
80.0,265.50137967016406,1,0
81.0,250.00471245327944,1,0
82.0,234.50804523639482,1,1
83.0,219.0113780195102,1,1
84.0,203.5147108026256,1,1
85.0,188.01804358574097,1,2
86.0,172.52137636885635,1,2
87.0,157.02470915197173,1,2
88.0,141.52804193508712,1,2
89.0,126.03137471820251,1,2
90.0,110.53470750131791,1,2
91.0,95.03804028443331,1,2
92.0,79.5413730675487,1,2
93.0,64.0447058506641,1,2
94.0,48.5480386337795,1,2
95.0,33.051371416894895,1,2
96.0,17.554704200010292,1,2
97.0,2.058036983125687,1,2
98.0,986.5613697662411,1,2
99.0,971.0647025493565,1,2
100.0,955.5680353324719,1,2
101.0,940.0713681155873,1,2
102.0,924.5747008987028,1,2
103.0,909.0780336818182,1,2
104.0,893.5813664649336,1,2
105.0,878.084699248049,1,2
106.0,862.5880320311644,1,2
107.0,847.0913648142798,1,2
108.0,831.5946975973952,1,2
109.0,816.0980303805106,1,2
110.0,800.601363163626,1,2
111.0,785.1046959467415,1,1
112.0,769.6080287298569,1,1
113.0,754.1113615129723,1,1
114.0,738.6146942960877,1,0
115.0,723.1180270792031,1,0
116.0,707.6213598623185,1,0
117.0,692.1246926454339,1,0
118.0,676.6280254285493,1,0
119.0,661.1313582116647,1,0
120.0,645.6346909947802,1,0
121.0,630.1380237778956,1,0
122.0,614.641356561011,1,0
123.0,599.1446893441264,1,0
124.0,583.6480221272418,1,0
125.0,568.1513549103572,1,0
126.0,552.6546876934726,1,0
127.0,537.158020476588,1,0
128.0,521.6613532597034,1,0
129.0,506.16468604281886,1,0
130.0,490.66801882593427,1,0
131.0,475.1713516090497,1,0
132.0,459.6746843921651,1,0
133.0,444.1780171752805,1,0
134.0,428.6813499583959,1,0
135.0,413.1846827415113,1,0
136.0,397.68801552462673,1,0
137.0,382.19134830774215,1,0
138.0,366.69468109085756,1,0
139.0,351.19801387397297,1,0
140.0,335.7013466570884,1,0
141.0,320.2046794402038,1,0
142.0,304.7080122233192,1,0
143.0,289.2113450064346,1,0
144.0,273.71467778955,1,0
145.0,258.21801057266543,1,0
146.0,242.72134335578082,1,1
147.0,227.2246761388962,1,1
148.0,211.72800892201158,1,1
149.0,196.23134170512697,1,2
150.0,180.73467448824235,1,2
151.0,165.23800727135773,1,2
152.0,149.7413400544731,1,2
153.0,134.2446728375885,1,2
154.0,118.74800562070389,1,2
155.0,103.25133840381929,1,2
156.0,87.75467118693469,1,2
157.0,72.25800397005008,1,2
158.0,56.76133675316548,1,2
159.0,41.26466953628088,1,2
160.0,25.768002319396274,1,2
161.0,10.271335102511669,1,2
162.0,994.7746678856271,1,2
163.0,979.2780006687425,1,2
